kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
50002;1;1;1;1.0;49;0;560;0;80;1.0
50002;1;2;1;1.0;49;380;450;10;0;1.0
50003;1;1;2;2.0;41;0;470;30;100;1.0
50003;1;2;2;2.0;41;0;550;0;0;1.0
50004;2;1;1;1.0;62;640;410;0;0;1.0
50004;2;2;1;1.0;62;0;550;72;108;1.0
50005;1;1;2;1.0;46;0;540;40;?;2.0
50005;1;2;2;1.0;46;0;550;52;108;2.0
50006;1;1;2;2.0;33;0;540;0;90;1.0
50006;1;2;2;2.0;33;0;530;62;0;1.0
50014;2;1;1;1.0;56;0;540;160;0;1.0
50014;2;2;1;1.0;56;0;440;62;0;1.0
50016;1;1;1;1.0;74;270;660;0;?;2.0
50017;1;1;1;2.0;57;0;420;150;0;1.0
50017;1;2;1;2.0;57;0;510;41;108;1.0
50020;1;1;2;2.0;34;0;520;0;0;1.0
50020;1;2;2;2.0;34;0;290;0;0;1.0
50028;1;1;2;1.0;38;0;630;30;120;1.0
50028;1;2;2;1.0;38;440;460;0;156;1.0
50030;1;1;1;2.0;53;430;340;0;0;1.0
50030;1;2;1;2.0;53;0;570;72;0;1.0
50031;1;1;2;3.0;62;0;415;120;70;2.0
50031;1;2;2;3.0;62;0;625;31;0;2.0
50034;1;1;2;1.0;48;440;530;50;0;1.0
50034;1;2;2;1.0;48;0;590;62;0;1.0
50050;1;1;2;1.0;63;0;480;100;70;1.0
50050;1;2;2;1.0;63;420;420;93;132;1.0
50053;2;1;1;1.0;74;0;560;20;0;1.0
50053;2;2;1;1.0;74;0;520;31;120;1.0
50059;2;1;2;1.0;44;0;610;10;90;2.0
50059;2;2;2;1.0;44;0;580;93;0;2.0
50061;1;1;1;1.0;61;0;480;30;130;2.0
50061;1;2;1;1.0;61;0;550;0;168;2.0
50065;1;1;2;1.0;66;0;600;30;0;1.0
50065;1;2;2;1.0;66;0;600;0;0;1.0
50085;2;1;2;1.0;57;0;550;90;0;1.0
50085;2;2;2;1.0;57;0;530;113;120;1.0
50090;2;1;1;3.0;67;0;565;0;100;1.0
50090;2;2;1;3.0;67;0;505;0;120;1.0
50098;1;1;2;1.0;53;0;500;50;0;2.0
50098;1;2;2;1.0;53;400;530;0;120;2.0
50101;1;1;1;1.0;51;0;610;0;0;1.0
50101;1;2;1;1.0;51;0;590;21;0;1.0
50111;2;1;1;2.0;61;00:00;07:50;00:40;00:00;1.0
50111;2;2;1;2.0;61;00:00;09:50;00:31;00:00;1.0
50114;2;1;2;1.0;37;00:00;09:30;01:00;00:00;1.0
50114;2;2;2;1.0;37;00:00;07:00;00:10;02:00;1.0
50115;1;1;2;1.0;58;0;510;60;0;2.0
50115;1;2;2;1.0;58;0;510;144;0;2.0
50118;1;1;2;1.0;61;0;620;150;0;1.0
50118;1;2;2;1.0;61;0;520;52;0;1.0
50120;1;1;2;2.0;30;0;590;0;0;1.0
50120;1;2;2;2.0;30;90;470;10;0;1.0
50127;1;1;2;1.0;31;04:00;07:50;01:00;01:40;1.0
50127;1;2;2;1.0;31;06:40;07:20;00:00;00:00;1.0
50128;2;1;2;1.0;64;430;350;10;70;2.0
50128;2;2;2;1.0;64;0;520;31;0;2.0
50132;2;1;2;2.0;66;0;400;70;120;2.0
50132;2;2;2;2.0;66;0;640;31;120;2.0
50135;1;1;1;1.0;58;0;440;0;130;2.0
50137;2;1;2;3.0;25;0;495;0;0;2.0
50137;2;2;2;3.0;25;0;685;21;108;2.0
50146;2;1;1;2.0;64;440;430;0;0;1.0
50146;2;2;1;2.0;64;0;480;72;0;1.0
50151;1;1;1;1.0;25;630;310;0;110;2.0
50151;1;2;1;1.0;25;530;370;41;96;2.0
50157;2;1;1;3.0;51;0;475;30;0;1.0
50157;2;2;1;3.0;51;0;755;72;120;1.0
50159;1;1;1;1.0;22;570;490;40;60;1.0
50159;1;2;1;1.0;22;0;650;0;0;?
50162;2;1;2;2.0;53;0;630;30;0;0.0
50162;2;2;2;2.0;53;490;430;0;0;0.0
50182;1;1;2;3.0;70;0;615;10;100;2.0
50182;1;2;2;3.0;70;0;515;0;0;2.0
50197;2;1;2;1.0;26;0;370;0;100;1.0
50197;2;2;2;1.0;26;730;410;31;108;1.0
50203;1;1;1;3.0;44;580;515;10;0;1.0
50203;1;2;1;3.0;44;520;525;31;144;1.0
50207;2;1;1;2.0;80;0;470;10;0;2.0
50207;2;2;1;2.0;80;0;550;41;0;2.0
50208;1;1;1;1.0;42;0;590;0;0;1.0
50208;1;2;1;1.0;42;0;510;0;0;1.0
50212;2;1;1;1.0;71;0;70;130;0;2.0
50212;2;2;1;1.0;71;0;500;154;108;2.0
50213;1;1;2;1.0;48;430;420;0;0;2.0
50213;1;2;2;1.0;48;0;540;0;120;2.0
50214;2;1;2;1.0;42;0;460;0;150;1.0
50214;2;2;2;1.0;42;510;430;0;96;1.0
50220;2;1;1;1.0;55;0;570;50;0;2.0
50220;2;2;1;1.0;55;0;550;72;0;2.0
50238;1;1;2;3.0;81;0;495;140;120;2.0
50238;1;2;2;3.0;81;0;615;31;0;2.0
50239;1;1;1;1.0;70;?;06:10;09:00;01:20;1.0
50239;1;2;1;1.0;70;00:00;04:50;10:08;00:00;1.0
50240;1;1;1;1.0;61;0;510;0;0;1.0
50240;1;2;1;1.0;61;0;520;0;96;1.0
50242;1;1;1;1.0;59;0;510;20;0;1.0
